#,Country,First Name,Last Name ,Last,UID,Matches,Minutes,km,m/min,poss,no poss,speed,low,med,high
56,JPN,Yuto,NAGATOMO,NAGA,NAGAJPN,3,270,32.44,120.1,9.67,13.93,30.13,159,18,19
212,JPN,Yuji,NAKAZAWA,NAKA,NAKAJPN,3,270,27.42,101.6,7.66,12.08,23.2,171,14,12
68,JPN,Yoshito,OKUBO,OKUB,OKUBJPN,3,247,29.28,118.5,9.42,13.07,28.38,151,18,23
197,JPN,Marcus,Tulio TANAKA,Tuli,TuliJPN,3,270,27.99,103.7,7.41,12.45,27.35,170,13,13
223,PRK,PAK,Chol Jin,Chol,CholPRK,3,270,27.12,100.4,7.82,14.43,22.55,164,13,13
32,PRK,MUN,In Guk,In G,In GPRK,3,205,25.34,123.6,8.4,12.47,23.84,125,17,19
111,PRK,CHA,Jong Hyok,Jong,JongPRK,3,255,28.77,112.8,9.2,14.25,25.94,155,16,18
216,PRK,RI,Jun Il,Jun,JunPRK,3,270,27.32,101.2,8.19,14.68,25.87,163,14,14
169,PRK,RI,Kwang Chon,Kwan,KwanPRK,3,270,28.71,106.3,8.36,15.43,25.99,159,15,16
40,PRK,PAK,Nam Chol,Nam,NamPRK,3,238,28.97,121.7,9.8,14.35,23.2,135,18,21
190,PRK,JONG,Tae Se,Tae,TaePRK,3,270,28.15,104.3,11.12,11.97,22.6,164,13,16
3,PRK,AN,Yong Hak,Yong,YongPRK,3,270,36.22,134.1,11.26,19.37,24.44,140,25,27
117,PRK,HONG,Yong Jo,Yong,YongPRK,3,270,30.25,112,10.47,14.25,22.92,155,17,20
133,PRK,JI,Yun Nam,Yun,YunPRK,3,270,29.72,110.1,8.85,15.69,23.2,158,16,20
179,KOR,PARK,Chu Young,Chu,ChuKOR,4,347,36.54,105.3,15.68,13.45,29,215,19,22
42,KOR,LEE,Chung Yong,Chun,ChunKOR,4,359,43.62,121.5,18.15,16.64,25.31,204,25,28
96,KOR,CHA,Du Ri,Du R,Du RKOR,3,270,31.05,115,12.9,12.33,24.83,156,16,21
46,KOR,PARK,Ji Sung,Ji S,Ji SKOR,4,360,43.55,121,17.89,17.33,30.02,203,26,27
201,KOR,LEE,Jung Soo,Jung,JungKOR,4,360,37.08,103,14.43,15.17,23.82,224,17,15
73,KOR,KIM,Jung Woo,Jung,JungKOR,4,360,42.39,117.8,16.46,18.31,26.2,207,23,26
27,KOR,YEOM,Ki Hun,Ki H,Ki HKOR,4,249,31.14,125.1,13.04,12.45,26.44,144,18,21
49,KOR,KI,Sung Yueng,Sung,SungKOR,4,292,35.18,120.5,14.5,14.21,26.17,167,26,24
246,KOR,CHO,Yong Hyung,Yong,YongKOR,4,360,34.41,95.6,13.04,15.23,25.69,225,17,16
113,KOR,LEE,Young Pyo,Youn,YounKOR,4,360,40.58,112.7,16.24,16.48,26.35,210,22,25
218,MEX,Giovani,DOS SANTOS,DOS,DOSMEX,4,360,36.36,101,16.64,11.64,28.35,219,17,22
137,MEX,Guillermo,FRANCO,FRAN,FRANMEX,4,254,27.88,109.8,12.48,8.98,22.81,162,15,15
24,MEX,Efrain,JUAREZ,JUAR,JUARMEX,3,235,29.46,125.4,12.14,11.36,25.75,130,15,23
125,MEX,Rafael,MARQUEZ,MARQ,MARQMEX,4,360,40.05,111.3,15.81,15.94,22.07,210,26,23
142,MEX,Ricardo,OSORIO,OSOR,OSORMEX,4,360,39.36,109.3,15.66,15.7,25.35,219,20,21
253,MEX,Oscar,PEREZ,PERE,PEREMEX,4,360,23.22,64.5,9.21,8.18,19.95,253,6,4
153,MEX,Francisco,RODRIGUEZ,RODR,RODRMEX,4,360,38.99,108.3,15.87,15,24.4,216,20,20
31,MEX,Carlos,SALCIDO,SALC,SALCMEX,4,360,44.61,123.9,18.52,16.64,27.02,202,27,31
6,MEX,Gerardo,TORRADO,TORR,TORRMEX,4,360,47.39,131.6,19.85,18.54,23.82,194,29,34
134,NED,Nigel,DE JONG,DE J,DE JNED,4,358,39.39,110,15.07,15.77,21.88,214,21,21
229,NED,John,HEITINGA,HEIT,HEITNED,4,360,35.66,99.1,14.01,13.23,24.07,223,18,16
102,NED,Dirk,KUYT,KUYT,KUYTNED,4,336,38.41,114.3,16.08,12.85,23.38,198,20,25
